country,year,age_group,pay_gap,flag
Italy,2022,Less than 25 years,5.6,
Italy,2023,Less than 25 years,8.3,p
Italy,2024,Less than 25 years,8.3,p
Latvia,2015,Less than 25 years,12.2,d
Latvia,2016,Less than 25 years,11.6,d
Latvia,2017,Less than 25 years,11.5,d
Latvia,2018,Less than 25 years,10.3,d
Latvia,2019,Less than 25 years,10.8,
Latvia,2020,Less than 25 years,12.2,
Latvia,2021,Less than 25 years,9.0,
Latvia,2022,Less than 25 years,11.9,
Latvia,2023,Less than 25 years,10.4,p
Latvia,2024,Less than 25 years,9.1,p
Lithuania,2015,Less than 25 years,14.2,
Lithuania,2016,Less than 25 years,14.6,
Lithuania,2017,Less than 25 years,13.3,
Lithuania,2018,Less than 25 years,13.3,
Lithuania,2019,Less than 25 years,11.9,
Lithuania,2020,Less than 25 years,14.7,
Lithuania,2021,Less than 25 years,14.5,
Lithuania,2022,Less than 25 years,14.7,
Lithuania,2023,Less than 25 years,13.9,p
Lithuania,2024,Less than 25 years,12.8,p
Luxembourg,2018,Less than 25 years,-6.1,
Luxembourg,2022,Less than 25 years,-11.6,
Malta,2015,Less than 25 years,0.6,
Malta,2016,Less than 25 years,2.7,
Malta,2017,Less than 25 years,2.8,
Malta,2018,Less than 25 years,2.6,
Malta,2019,Less than 25 years,-0.4,
Malta,2020,Less than 25 years,-1.8,
Malta,2021,Less than 25 years,-1.7,
Malta,2022,Less than 25 years,-2.6,
Malta,2023,Less than 25 years,-2.0,p
Malta,2024,Less than 25 years,-0.1,p
Netherlands,2015,Less than 25 years,2.2,
Netherlands,2016,Less than 25 years,2.1,
Netherlands,2017,Less than 25 years,0.6,
Netherlands,2018,Less than 25 years,-0.5,
Netherlands,2019,Less than 25 years,1.8,
Netherlands,2020,Less than 25 years,0.9,
Netherlands,2021,Less than 25 years,0.7,
Netherlands,2022,Less than 25 years,0.4,
Netherlands,2023,Less than 25 years,2.1,p
Netherlands,2024,Less than 25 years,1.5,p
Norway,2015,Less than 25 years,2.4,
Norway,2016,Less than 25 years,1.7,
